patient,sample,lane,fastq_1,fastq_2
SJALL018294,D2,001,SJALL018294_D2_R1.fastq.gz,SJALL018294_D2_R2.fastq.gz
SJALL018294,G1,001,SJALL018294_G1_R1.fastq.gz,SJALL018294_G1_R2.fastq.gz
SJALL044291,D1,001,SJALL044291_D1_R1.fastq.gz,SJALL044291_D1_R2.fastq.gz
SJALL060401,D1,001,SJALL060401_D1_R1.fastq.gz,SJALL060401_D1_R2.fastq.gz
SJAML045737,D1,001,SJAML045737_D1_R1.fastq.gz,SJAML045737_D1_R2.fastq.gz
SJMPAL011911,D1,001,SJMPAL011911_D1_R1.fastq.gz,SJMPAL011911_D1_R2.fastq.gz
SJMPAL011911,G2,001,SJMPAL011911_G2_R1.fastq.gz,SJMPAL011911_G2_R2.fastq.gz
SJMPAL011912,D1,001,SJMPAL011912_D1_R1.fastq.gz,SJMPAL011912_D1_R2.fastq.gz
SJMPAL011913,D1,001,SJMPAL011913_D1_R1.fastq.gz,SJMPAL011913_D1_R2.fastq.gz
SJMPAL011915,D1,001,SJMPAL011915_D1_R1.fastq.gz,SJMPAL011915_D1_R2.fastq.gz
SJMPAL011915,G2,001,SJMPAL011915_G2_R1.fastq.gz,SJMPAL011915_G2_R2.fastq.gz
SJMPAL012420,D2,001,SJMPAL012420_D2_R1.fastq.gz,SJMPAL012420_D2_R2.fastq.gz
SJMPAL012420,G2,001,SJMPAL012420_G2_R1.fastq.gz,SJMPAL012420_G2_R2.fastq.gz
SJMPAL042792,D1,001,SJMPAL042792_D1_R1.fastq.gz,SJMPAL042792_D1_R2.fastq.gz
SJMPAL042792,G1,001,SJMPAL042792_G1_R1.fastq.gz,SJMPAL042792_G1_R2.fastq.gz
SJMPAL042793,D1,001,SJMPAL042793_D1_R1.fastq.gz,SJMPAL042793_D1_R2.fastq.gz
SJMPAL043509,D2,001,SJMPAL043509_D2_R1.fastq.gz,SJMPAL043509_D2_R2.fastq.gz
SJTALL002141,D1,001,SJTALL002141_D1_R1.fastq.gz,SJTALL002141_D1_R2.fastq.gz
SJTALL002141,G1,001,SJTALL002141_G1_R1.fastq.gz,SJTALL002141_G1_R2.fastq.gz
SJTALL012399,D1,001,SJTALL012399_D1_R1.fastq.gz,SJTALL012399_D1_R2.fastq.gz
SJTALL012399,G1,001,SJTALL012399_G1_R1.fastq.gz,SJTALL012399_G1_R2.fastq.gz
SJTALL022442,D2,001,SJTALL022442_D2_R1.fastq.gz,SJTALL022442_D2_R2.fastq.gz
SJTALL022442,G2,001,SJTALL022442_G2_R1.fastq.gz,SJTALL022442_G2_R2.fastq.gz
SJTALL022649,D1,001,SJTALL022649_D1_R1.fastq.gz,SJTALL022649_D1_R2.fastq.gz
SJTALL022649,G1,001,SJTALL022649_G1_R1.fastq.gz,SJTALL022649_G1_R2.fastq.gz
SJTALL031897,D1,001,SJTALL031897_D1_R1.fastq.gz,SJTALL031897_D1_R2.fastq.gz
SJTALL031897,G1,001,SJTALL031897_G1_R1.fastq.gz,SJTALL031897_G1_R2.fastq.gz
SJTALL187,D,001,SJTALL187_D_R1.fastq.gz,SJTALL187_D_R2.fastq.gz
SJTALL187,G,001,SJTALL187_G_R1.fastq.gz,SJTALL187_G_R2.fastq.gz
